Hole      Core-Sec.-Int.     Depth      Bio.sil.     Age
BDP-96-2      4   1  77       7.84        6.3      169.1
BDP-96-2      4   1  79       7.86        6.7      169.4
BDP-96-2      4   1  81       7.88        6.5      170.1
BDP-96-2      4   1  83        7.9        5.5      170.8
BDP-96-2      4   1  85       7.92        5.6      171.5
BDP-96-2      4   1  87       7.94        6.0      172.2
BDP-96-2      4   1  89       7.96        5.8      172.8
BDP-96-2      4   1  91       7.98        7.5      173.5
BDP-96-2      4   1  93          8        7.2      174.2
BDP-96-2      4   1  95       8.02        7.0      174.9
BDP-96-2      4   1  97       8.04        5.7      175.6
BDP-96-2      4   1  99       8.06        6.4      176.3
BDP-96-2      4   1 100       8.07        8.0      176.7
BDP-96-2      4   1 101       8.08        2.9      177.0
BDP-96-2      4   1 103        8.1        3.1      177.7
BDP-96-2      4   1 105       8.12        3.7      178.4
BDP-96-2      4   1 107       8.14        3.7      179.1
BDP-96-2      4   1 109       8.16        3.2      179.8
BDP-96-2      4   1 113        8.2        3.3      181.2
BDP-96-2      4   1 115       8.22        3.1      181.9
BDP-96-2      4   1 117       8.24        3.3      182.6
BDP-96-2      4   1 119       8.26        3.5      183.3
BDP-96-2      4   1 121       8.28        5.4      184.0
BDP-96-2      4   1 123        8.3       12.3      184.7
BDP-96-2      4   1 125       8.32       12.7      185.4
BDP-96-2      4   1 127       8.34       15.0      186.0
BDP-96-2      4   1 129       8.36       12.4      186.7
BDP-96-2      4   1 131       8.38       10.0      187.4
BDP-96-2      4   1 133        8.4       11.0      188.1
BDP-96-2      4   1 135       8.42       13.6      188.8
BDP-96-2      4   1 137       8.44       13.9      189.5
BDP-96-2      4   1 139       8.46       16.0      190.2
BDP-96-2      4   1 143        8.5       26.4      191.6
BDP-96-2      4   1 145       8.52       32.0      192.3
BDP-96-2      4   1 147       8.54       29.9      192.7
BDP-96-2      4   1 149       8.56       29.9      193.2
BDP-96-2      4   1 151       8.58       31.9      193.6
BDP-96-2      4   1 153        8.6       23.7      194.0
BDP-96-2      4   1 155       8.62       31.8      194.5
BDP-96-2      4   1 157       8.64       30.7      194.9
BDP-96-2      4   1 159       8.66       33.9      195.3
BDP-96-2      4   1 161       8.68       30.2      195.8
BDP-96-2      4   1 163        8.7       30.7      196.2
BDP-96-2      4   1 165       8.72       35.0      196.6
BDP-96-2      4   1 167       8.74       33.8      197.0
BDP-96-2      4   1 169       8.76       36.1      197.5
BDP-96-2      4   1 171       8.78       35.9      197.9
BDP-96-2      4   1 173        8.8       33.0      198.3
BDP-96-2      4   1 175       8.82       33.6      198.8
BDP-96-2      4   1 177       8.84       32.9      199.2
BDP-96-2      4   1 179       8.86       29.1      199.6
BDP-96-2      4   1 183        8.9       22.2      200.5
BDP-96-2      4   1 185       8.92       12.4      200.9
BDP-96-2      4   1 187       8.94       13.6      201.4
BDP-96-2      4   1 189       8.96       12.0      201.8
BDP-96-2      4   1 191       8.98       14.5      202.2
BDP-96-2      4   2   1          9       10.4      202.7
BDP-96-2      4   2   3       9.02       10.5      203.1
BDP-96-2      4   2   5       9.04       11.7      203.5
BDP-96-2      4   2   7       9.06       13.2      204.0
BDP-96-2      4   2   9       9.08       15.8      204.4
BDP-96-2      4   2  11        9.1       12.6      204.8
BDP-96-2      4   2  13       9.12       16.0      205.2
BDP-96-2      4   2  15       9.14       12.8      205.7
BDP-96-2      4   2  17       9.16       10.5      206.1
BDP-96-2      4   2  19       9.18       10.8      206.5
BDP-96-2      4   2  21        9.2       12.0      207.0
BDP-96-2      5   1   3       9.24        7.8      207.8
BDP-96-2      5   1   5       9.26        8.1      208.3
BDP-96-2      5   1   7       9.28       15.0      208.7
BDP-96-2      5   1   9        9.3       17.9      209.1
BDP-96-2      5   1  11       9.32       16.2      209.6
BDP-96-2      5   1  15       9.36       26.0      210.4
BDP-96-2      5   1  17       9.38       27.6      210.9
BDP-96-2      5   1  19        9.4       28.6      211.3
BDP-96-2      5   1  21       9.42       29.6      211.7
BDP-96-2      5   1  23       9.44       31.6      212.2
BDP-96-2      5   1  25       9.46       33.6      212.6
BDP-96-2      5   1  27       9.48       33.0      213.0
BDP-96-2      5   1  29        9.5       33.0      213.4
BDP-96-2      5   1  31       9.52       38.5      213.9
BDP-96-2      5   1  33       9.54       37.7      214.3
BDP-96-2      5   1  35       9.56       40.1      214.7
BDP-96-2      5   1  37       9.58       35.9      215.1
BDP-96-2      5   1  39        9.6       37.0      215.5
BDP-96-2      5   1  41       9.62       32.1      215.8
BDP-96-2      5   1  43       9.64       31.2      216.2
BDP-96-2      5   1  45       9.66       25.9      216.5
BDP-96-2      5   1  47       9.68       31.9      216.9
BDP-96-2      5   1  49        9.7       28.0      217.2
